time,P,G(i),H_sun,T2m,WS10m,Int
20120115:0111,0,0,0,-1.21,2,0
20120115:0211,0,0,0,-0.85,2.14,0
20120115:0311,0,0,0,-0.05,2.34,0
20120115:0411,0,0,0,0.47,2.34,0
20120115:0511,0,0,0,0.58,2.34,0
20120115:0611,0,0,0,0.49,2.21,0
20120115:0711,0,0,0,0.69,2.21,0
20120115:0811,0,0,0,0.53,2.34,0
20120115:0911,569.12,331.98,7.37,0.8,2.48,0
20120115:1011,930.96,548.26,12.64,2.43,2.55,0
20120115:1111,1110.42,661.31,15.96,3.9,3.45,0
20120115:1211,1110.02,657.91,17.04,4.51,4.34,0
20120115:1311,746.74,436.55,15.78,4.72,4.41,0
20120115:1411,35.74,33.6,12.29,4.59,4.34,0
20120115:1511,116.88,82.46,6.9,4.2,3.72,0
20120115:1611,0,0,0,3.18,3.52,0
20120115:1711,0,0,0,2.22,3.45,0
20120115:1811,0,0,0,1.8,3.59,0
20120115:1911,0,0,0,1.71,3.66,0
20120115:2011,0,0,0,1.82,3.79,0
20120115:2111,0,0,0,1.84,3.79,0
20120115:2211,0,0,0,1.58,3.66,0
20120115:2311,0,0,0,1.27,3.45,0
20120116:0011,0,0,0,0.87,3.17,0
20120116:0111,0,0,0,0.51,2.9,0
20120116:0211,0,0,0,0.12,2.76,0
20120116:0311,0,0,0,-0.16,2.76,0
20120116:0411,0,0,0,-0.42,2.69,0
20120116:0511,0,0,0,-0.68,2.62,0
20120116:0611,0,0,0,-0.95,2.55,0
20120116:0711,0,0,0,-0.69,2.76,0
20120116:0811,0,0,0,-0.66,2.76,0
20120116:0911,584.82,339.31,7.51,-0.04,2.69,0
20120116:1011,995.12,586.19,12.79,1.89,2.69,0
20120116:1111,1186.88,708.68,16.13,3.44,3.59,0
20120116:1211,1149.58,686.97,17.23,4.27,3.66,0
20120116:1311,1120.92,672.66,15.98,4.69,3.24,0
20120116:1411,859.82,510.12,12.5,4.74,2.83,0
20120116:1511,407.84,247.77,7.1,4.31,2.14,0
20120116:1611,0,0,0,2.94,2.34,0
20120116:1711,0,0,0,1.52,2.41,0
20120116:1811,0,0,0,0.64,2.34,0
20120116:1911,0,0,0,0.21,2.28,0
20120116:2011,0,0,0,-0.35,2.48,0
20120116:2111,0,0,0,-0.58,2.62,0
20120116:2211,0,0,0,-0.54,2.76,0
20120116:2311,0,0,0,-0.5,2.83,0
20120117:0011,0,0,0,-0.6,2.76,0
20120117:0111,0,0,0,-0.8,2.69,0
20120117:0211,0,0,0,-1.07,2.48,0
20120117:0311,0,0,0,-1.58,2.14,0
20120117:0411,0,0,0,-2.25,1.93,0
20120117:0511,0,0,0,-2.73,1.93,0
20120117:0611,0,0,0,-2.92,2.14,0
20120117:0711,0,0,0,-2.88,1.93,0
20120117:0811,0,0,0,-2.9,2.07,0
20120117:0911,538.94,311.64,7.65,-2.15,1.86,0
20120117:1011,955.98,565.01,12.95,0.75,1.59,0
20120117:1111,999.86,597.06,16.31,2.85,1.93,0
20120117:1211,1059.12,637.81,17.42,4.1,2.21,0
20120117:1311,393.74,237.85,16.18,4.7,2.21,0
20120117:1411,778.36,463.19,12.7,4.66,2,0
20120117:1511,308.42,190.91,7.31,4.07,2.21,0
20120117:1611,0,0,0,2.95,2.41,0
20120117:1711,0,0,0,1.94,2.48,0
20120117:1811,0,0,0,1.31,2.55,0
20120117:1911,0,0,0,0.54,2.62,0
20120117:2011,0,0,0,0.78,2.55,0
20120117:2111,0,0,0,1.34,2.55,0
20120117:2211,0,0,0,1.92,2.62,0
20120117:2311,0,0,0,2.26,2.97,0
20120118:0011,0,0,0,2.31,3.24,0
20120118:0111,0,0,0,2.31,3.45,0
20120118:0211,0,0,0,2.44,3.59,0
