LCLid,KWH/hh (per half hour)
MAC000008,0.141
MAC000008,0.302
MAC000008,0.291
MAC000008,0.252
MAC000008,0.238
MAC000008,0.299
MAC000008,0.322
MAC000008,0.265
MAC000008,0.266
MAC000008,0.372
MAC000008,0.342
MAC000008,0.516
MAC000008,0.428
MAC000008,0.304
MAC000008,0.305
MAC000008,0.25
MAC000008,0.205
MAC000008,0.204
MAC000008,0.222
MAC000008,0.222
MAC000008,0.203
MAC000008,0.181
MAC000008,0.18
MAC000008,0.2
MAC000008,0.182
MAC000008,0.19
MAC000008,0.261
MAC000008,0.225
MAC000008,0.159
MAC000008,0.199
MAC000008,0.178
MAC000008,0.176
MAC000008,0.315
MAC000008,0.272
MAC000008,0.232
MAC000008,0.377
MAC000008,0.364
MAC000008,0.325
MAC000008,0.344
MAC000008,0.245
MAC000008,0.201
MAC000008,0.321
MAC000008,0.359
MAC000008,0.265
MAC000008,0.269
MAC000008,0.266
MAC000008,0.149
MAC000008,0.141
MAC000008,0.241
MAC000008,0.184
MAC000008,0.17
MAC000008,0.233
MAC000008,0.167
MAC000008,0.209
MAC000008,0.205
MAC000008,0.194
MAC000008,0.209
MAC000008,0.223
MAC000008,0.273
MAC000008,0.347
MAC000008,0.35
MAC000008,0.726
MAC000008,0.697
MAC000008,0.614
MAC000008,0.211
MAC000008,0.156
MAC000008,0.167
MAC000008,0.171
MAC000008,0.141
MAC000008,0.205
MAC000008,0.172
MAC000008,0.219
MAC000008,0.159
MAC000008,0.174
MAC000008,0.229
MAC000008,0.179
MAC000008,0.155
MAC000008,0.153
MAC000008,0.156
MAC000008,0.17
MAC000008,0.819
MAC000008,0.618
MAC000008,0.368
MAC000008,0.233
MAC000008,0.218
MAC000008,0.283
MAC000008,0.259
MAC000008,0.333
MAC000008,0.61
MAC000008,0.569
MAC000008,0.179
MAC000008,0.153
MAC000008,0.177
MAC000008,0.198
MAC000008,0.276
MAC000008,0.167
MAC000008,0.156
MAC000008,0.333
MAC000008,0.486
MAC000008,0.409
MAC000008,0.478
MAC000008,0.305
MAC000008,0.217
MAC000008,0.207
MAC000008,0.166
MAC000008,0.204
MAC000008,0.415
MAC000008,0.489
MAC000008,0.505
MAC000008,0.463
MAC000008,0.265
MAC000008,0.231
MAC000008,0.303
MAC000008,0.235
MAC000008,0.285
MAC000008,0.284
MAC000008,0.235
MAC000008,0.254
MAC000008,0.205
MAC000008,0.222
MAC000008,0.209
MAC000008,0.235
MAC000008,0.207
MAC000008,0.192
MAC000008,0.184
MAC000008,0.208
MAC000008,0.201
MAC000008,0.178
MAC000008,0.286
MAC000008,0.239
MAC000008,0.174
MAC000008,0.192
MAC000008,0.189
MAC000008,0.176
MAC000008,0.177
MAC000008,0.2
MAC000008,0.226
MAC000008,0.176
MAC000008,0.245
MAC000008,0.265
MAC000008,0.249
MAC000008,0.182
MAC000008,0.218
MAC000008,0.236
MAC000008,0.172
MAC000008,0.39
MAC000008,0.224
MAC000008,0.197
MAC000008,0.528
MAC000008,0.803
MAC000008,0.609
MAC000008,0.334
MAC000008,0.344
MAC000008,0.246
MAC000008,0.419
MAC000008,0.333
MAC000008,0.306
MAC000008,0.202
MAC000008,0.284
MAC000008,0.218
MAC000008,0.186
MAC000008,0.217
MAC000008,0.209
MAC000008,0.209
MAC000008,0.214
MAC000008,0.22
MAC000008,0.205
MAC000008,0.198
MAC000008,0.186
MAC000008,0.187
MAC000008,0.2
MAC000008,0.169
MAC000008,0.219
MAC000008,0.199
MAC000008,0.167
MAC000008,0.185
MAC000008,0.183
MAC000008,0.226
MAC000008,0.201
MAC000008,0.201
MAC000008,0.242
MAC000008,0.182
MAC000008,0.363
MAC000008,0.462
MAC000008,0.268
MAC000008,0.242
MAC000008,0.287
MAC000008,0.473
MAC000008,0.293
MAC000008,0.3
MAC000008,1.033
MAC000008,0.841
MAC000008,0.3
MAC000008,0.554
MAC000008,0.588
MAC000008,0.668
MAC000008,0.585
MAC000008,0.496
MAC000008,0.409
MAC000008,0.378
MAC000008,0.416
MAC000008,0.522
MAC000008,0.328
MAC000008,0.267
MAC000008,0.235
MAC000008,0.322
MAC000008,0.232
MAC000008,0.221
MAC000008,0.219
MAC000008,0.208
MAC000008,0.243
MAC000008,0.181
MAC000008,0.194
MAC000008,0.275
MAC000008,0.192
MAC000008,0.165
MAC000008,0.173
MAC000008,0.142
MAC000008,0.196
MAC000008,0.251
MAC000008,0.171
MAC000008,0.171
MAC000008,0.177
MAC000008,0.155
MAC000008,0.178
MAC000008,0.196
MAC000008,0.17
MAC000008,0.233
MAC000008,0.357
MAC000008,0.236
MAC000008,0.212
MAC000008,0.163
MAC000008,0.155
MAC000008,0.204
MAC000008,0.17
MAC000008,0.159
MAC000008,0.166
MAC000008,0.15
MAC000008,0.175
MAC000008,0.241
MAC000008,0.223
MAC000008,0.252
MAC000008,0.268
MAC000008,0.206
MAC000008,0.209
MAC000008,0.228
MAC000008,0.317
MAC000008,0.248
MAC000008,0.24
MAC000008,0.307
MAC000008,0.39
MAC000008,0.408
MAC000008,0.397
MAC000008,0.302
MAC000008,0.253
MAC000008,0.226
MAC000008,0.194
MAC000008,0.181
MAC000008,0.193
MAC000008,0.208
MAC000008,0.182
MAC000008,0.162
MAC000008,0.188
MAC000008,0.161
MAC000008,0.164
MAC000008,0.178
MAC000008,0.182
MAC000008,0.175
MAC000008,0.161
MAC000008,0.176
MAC000008,0.135
MAC000008,0.177
MAC000008,0.174
MAC000008,0.196
MAC000008,0.337
MAC000008,0.322
MAC000008,0.707
MAC000008,0.49
MAC000008,0.308
MAC000008,0.331
MAC000008,0.592
MAC000008,0.57
MAC000008,0.564
MAC000008,0.489
MAC000008,0.474
MAC000008,0.44
MAC000008,0.452
MAC000008,0.465
MAC000008,0.31
MAC000008,0.983
MAC000008,0.495
MAC000008,0.658
MAC000008,0.599
MAC000008,0.555
MAC000008,0.508
MAC000008,0.506
MAC000008,0.593
MAC000008,0.364
MAC000008,0.359
MAC000008,0.33
MAC000008,0.376
MAC000008,0.43
MAC000008,0.321
MAC000008,0.265
MAC000008,0.259
MAC000008,0.243
MAC000008,0.228
MAC000008,0.31
MAC000008,0.218
MAC000008,0.176
MAC000008,0.19
MAC000008,0.206
MAC000008,0.238
MAC000008,0.17
MAC000008,0.198
MAC000008,0.189
MAC000008,0.157
MAC000008,0.199
MAC000008,0.175
MAC000008,0.19
MAC000008,0.195
MAC000008,0.23
MAC000008,1.114
MAC000008,0.739
MAC000008,0.709
MAC000008,0.479
MAC000008,0.711
MAC000008,0.781
MAC000008,0.795
MAC000008,0.422
MAC000008,1.209
MAC000008,1.42
MAC000008,0.688
MAC000008,0.988
MAC000008,0.962
MAC000008,0.996
MAC000008,0.836
MAC000008,0.46
MAC000008,0.391
MAC000008,0.57
MAC000008,0.714
MAC000008,0.508
MAC000008,0.262
MAC000008,0.312
MAC000008,0.278
MAC000008,0.316
MAC000008,0.323
MAC000008,0.308
MAC000008,0.392
MAC000008,0.439
MAC000008,0.334
MAC000008,0.272
MAC000008,0.206
MAC000008,0.229
MAC000008,0.237
MAC000008,0.251
MAC000008,0.212
MAC000008,0.218
MAC000008,0.201
MAC000008,0.274
MAC000008,0.25
MAC000008,0.224
MAC000008,0.187
MAC000008,0.223
MAC000008,0.212
MAC000008,0.171
MAC000008,0.208
MAC000008,0.205
MAC000008,0.184
MAC000008,0.67
MAC000008,1.108
MAC000008,0.484
MAC000008,0.395
MAC000008,0.337
MAC000008,0.708
MAC000008,0.751
MAC000008,0.877
MAC000008,0.891
MAC000008,0.551
MAC000008,0.966
MAC000008,0.364
MAC000008,0.384
MAC000008,0.411
MAC000008,0.867
MAC000008,0.499
MAC000008,0.878
MAC000008,0.941
MAC000008,0.682
MAC000008,0.555
MAC000008,0.478
MAC000008,0.377
MAC000008,0.432
MAC000008,0.686
MAC000008,0.67
MAC000008,1.064
MAC000008,0.669
MAC000008,1.178
MAC000008,1.433
MAC000008,1.049
MAC000008,1.099
MAC000008,0.518
MAC000008,0.246
MAC000008,0.221
MAC000008,0.223
MAC000008,0.21
MAC000008,0.226
MAC000008,0.258
MAC000008,0.19
MAC000008,0.229
MAC000008,0.179
MAC000008,0.204
MAC000008,0.215
MAC000008,0.2
MAC000008,0.214
MAC000008,0.162
MAC000008,0.275
MAC000008,0.229
MAC000008,0.223
MAC000008,0.289
MAC000008,0.169
MAC000008,0.556
MAC000008,0.659
MAC000008,0.493
MAC000008,0.257
MAC000008,0.203
MAC000008,0.231
MAC000008,0.162
MAC000008,0.22
MAC000008,0.244
MAC000008,0.503
MAC000008,0.731
MAC000008,0.392
MAC000008,0.181
MAC000008,0.177
MAC000008,0.165
MAC000008,0.288
MAC000008,0.24
MAC000008,0.278
MAC000008,0.251
MAC000008,0.22
MAC000008,0.258
MAC000008,0.219
MAC000008,0.319
MAC000008,0.271
MAC000008,0.28
MAC000008,0.291
MAC000008,0.299
MAC000008,0.259
MAC000008,0.247
MAC000008,0.27
MAC000008,0.183
MAC000008,0.189
MAC000008,0.192
MAC000008,0.163
MAC000008,0.237
MAC000008,0.202
MAC000008,0.195
MAC000008,0.182
MAC000008,0.173
MAC000008,0.185
MAC000008,0.175
MAC000008,0.213
MAC000008,0.149
MAC000008,0.179
MAC000008,0.172
MAC000008,0.169
MAC000008,0.27
MAC000008,0.172
MAC000008,0.189
MAC000008,0.153
MAC000008,0.208
MAC000008,0.309
MAC000008,0.828
MAC000008,1.182
MAC000008,0.243
MAC000008,0.247
MAC000008,0.163
MAC000008,0.383
MAC000008,1.015
MAC000008,0.368
MAC000008,0.886
MAC000008,0.424
MAC000008,0.397
MAC000008,0.711
MAC000008,0.586
MAC000008,0.526
MAC000008,0.451
MAC000008,0.31
MAC000008,0.293
MAC000008,0.256
MAC000008,0.456
MAC000008,0.432
MAC000008,0.43
MAC000008,0.35
MAC000008,0.28
MAC000008,0.234
MAC000008,0.326
MAC000008,0.324
MAC000008,0.722
MAC000008,0.688
MAC000008,0.514
MAC000008,0.235
MAC000008,0.198
MAC000008,0.236
MAC000008,0.299
MAC000008,0.272
MAC000008,0.244
MAC000008,0.183
MAC000008,0.239
MAC000008,0.171
MAC000008,0.257
MAC000008,0.205
MAC000008,0.201
MAC000008,0.605
MAC000008,0.2
MAC000008,0.145
MAC000008,0.344
MAC000008,0.204
MAC000008,0.196
MAC000008,0.209
MAC000008,0.141
MAC000008,0.205
MAC000008,0.285
MAC000008,1.043
MAC000008,0.349
MAC000008,0.719
MAC000008,0.294
MAC000008,1.17
MAC000008,0.267
MAC000008,0.2
MAC000008,0.234
MAC000008,0.359
MAC000008,1.235
MAC000008,1.015
MAC000008,0.813
MAC000008,0.611
MAC000008,0.348
MAC000008,0.324
MAC000008,0.363
MAC000008,0.49
MAC000008,0.366
MAC000008,1.317
MAC000008,0.963
MAC000008,0.895
MAC000008,0.495
MAC000008,0.521
MAC000008,0.46
MAC000008,0.385
MAC000008,0.421
MAC000008,0.36
MAC000008,0.429
MAC000008,0.422
MAC000008,0.412
MAC000008,0.345
MAC000008,0.195
MAC000008,0.299
MAC000008,0.187
MAC000008,0.208
MAC000008,0.221
MAC000008,0.142
MAC000008,0.207
MAC000008,0.156
MAC000008,0.223
MAC000008,0.225
MAC000008,0.22
MAC000008,0.311
MAC000008,0.472
MAC000008,0.639
MAC000008,0.546
MAC000008,0.224
MAC000008,0.593
MAC000008,0.654
MAC000008,0.235
MAC000008,0.82
MAC000008,0.27
MAC000008,0.252
MAC000008,0.242
MAC000008,0.2
MAC000008,0.248
MAC000008,0.204
